# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 789K of event 'cycles'
# Event count (approx.): 71959522793739
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     0.10%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.10%  iou-wrk-3101     [kernel.vmlinux]            [k] copy_user_enhanced_fast_string
     0.10%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3048     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3058     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3045     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3029     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3060     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3048     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3032     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3046     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3060     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3046     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3056     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3044     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3051     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3060     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  fio              [kernel.vmlinux]            [k] tick_sched_timer
     0.10%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.10%  fio              [kernel.vmlinux]            [k] __rdgsbase_inactive
     0.10%     0.03%  iou-wrk-3027     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.10%     0.00%  iou-wrk-3056     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3045     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3051     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3052     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3046     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3041     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3059     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3047     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3035     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3056     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3044     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3043     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] add_to_page_cache_lru
     0.10%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.03%  iou-wrk-3069     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.10%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3047     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3036     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3052     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3043     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3059     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] read_pages
     0.10%     0.03%  iou-wrk-3076     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.10%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] read_pages
     0.10%     0.00%  iou-wrk-3030     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.10%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3054     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] read_pages
     0.09%     0.03%  iou-wrk-3074     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3038     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] read_pages
     0.09%     0.03%  iou-wrk-3101     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3042     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3055     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3050     [kernel.vmlinux]            [k] read_pages
     0.09%     0.09%  fio              [kernel.vmlinux]            [k] place_entity
     0.09%     0.00%  iou-wrk-3049     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.03%  iou-wrk-3055     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3065     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.04%  iou-wrk-3056     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3073     [kernel.vmlinux]            [k] read_pages
     0.09%     0.03%  iou-wrk-3091     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3050     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3055     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.03%  iou-wrk-3098     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3049     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.03%  iou-wrk-3073     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3061     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3054     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.03%  iou-wrk-3053     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.04%  iou-wrk-3048     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3073     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3057     [kernel.vmlinux]            [k] read_pages
     0.09%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3090     [kernel.vmlinux]            [k] read_pages
     0.09%     0.03%  iou-wrk-3099     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.03%  iou-wrk-3058     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3079     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3070     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3075     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3061     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.03%  iou-wrk-3067     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.03%  iou-wrk-3061     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3035     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3057     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.08%  fio              [kernel.vmlinux]            [k] wakeup_preempt_entity.isra.0
     0.09%     0.03%  iou-wrk-3096     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.03%  iou-wrk-3039     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3100     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3043     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  fio              [kernel.vmlinux]            [k] tick_sched_handle.isra.0
     0.09%     0.03%  iou-wrk-3089     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.04%  iou-wrk-3052     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.00%  iou-wrk-3090     [kernel.vmlinux]            [k] ext4_mpage_readpages
     0.09%     0.03%  iou-wrk-3040     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3088     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3045     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3080     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3062     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3064     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3053     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.00%  kswapd0          [kernel.vmlinux]            [k] lru_note_cost
     0.09%     0.00%  iou-wrk-3027     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.03%  iou-wrk-3060     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] submit_bio_noacct
     0.09%     0.03%  iou-wrk-3095     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.03%  iou-wrk-3081     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] submit_bio
     0.09%     0.03%  iou-wrk-3057     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3072     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] __submit_bio
     0.09%     0.03%  iou-wrk-3050     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  iou-wrk-3103     [kernel.vmlinux]            [k] filemap_get_read_batch
     0.09%     0.03%  fio              [kernel.vmlinux]            [k] _raw_spin_unlock_irqrestore
